Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
0.0,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.0,Trader1,Tick,0,0,0,0,,,0,0,0,OK
0.0,Trader2,Tick,0,0,0,0,,,0,0,0,OK
0.235,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.235,Trader1,Tick,0,0,0,0,,,0,0,0,OK
0.235,Trader2,Tick,0,0,0,0,,,0,0,0,OK
0.547,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.547,Trader1,Tick,0,0,0,0,,,0,0,0,OK
0.547,Trader2,Tick,0,0,0,0,,,0,0,0,OK
0.75,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.75,Trader1,Tick,0,0,0,0,,,0,0,0,OK
0.75,Trader2,Tick,0,0,0,0,,,0,0,0,OK
0.969,TraderOne,Tick,0,10,-10,10,147600,,-147,147,147,OK
0.969,Trader1,Tick,0,0,0,0,147600,,0,0,0,OK
0.969,Trader2,Tick,0,10,-10,10,147600,,-147,147,147,OK
1.266,TraderOne,Tick,0,10,-10,10,147100,147100,-147,147,147,OK
1.266,Trader1,Tick,0,0,0,0,147100,147100,0,0,0,OK
1.266,Trader2,Tick,1,10,-9,9,147100,147100,-162,162,162,OK
1.547,TraderOne,Tick,0,10,-10,10,147100,147100,-147,147,147,OK
1.547,Trader1,Tick,0,0,0,0,147100,147100,0,0,0,OK
1.547,Trader2,Tick,1,10,-9,9,147100,147100,-162,162,162,OK
1.797,TraderOne,Tick,10,10,0,0,147200,147100,-294,-1706,-1706,OK
1.797,Trader1,Tick,0,0,0,0,147200,147100,0,0,0,OK
1.797,Trader2,Tick,1,20,-19,19,147200,147100,132,868,-1032,OK
1.985,TraderOne,Tick,20,10,10,-10,147300,147100,-441,-4559,-2559,OK
1.985,Trader1,Tick,0,10,-10,0,147300,147100,295,1472705,-295,OK
1.985,Trader2,Tick,1,20,-19,19,147300,147100,132,868,-2932,OK
2.297,TraderOne,Tick,20,20,0,0,147200,146900,-147,-3853,-3853,OK
2.297,Trader1,Tick,0,10,-10,0,147200,146900,295,1472705,1705,OK
2.297,Trader2,Tick,11,20,-9,9,147200,146900,-15,-985,-2785,OK
2.547,TraderOne,Tick,30,20,10,-10,146400,146900,-294,-6706,-8706,OK
2.547,Trader1,Tick,0,10,-10,0,146400,146900,295,1472705,5705,OK
2.547,Trader2,Tick,21,20,1,-1,146400,146900,-162,-2838,-3038,OK
2.719,TraderOne,Tick,30,20,10,-10,146400,146900,-294,-6706,-8706,OK
2.719,Trader1,Tick,0,10,-10,0,146400,146900,295,1472705,5705,OK
2.719,Trader2,Tick,21,20,1,-1,146400,146900,-162,-2838,-3038,OK
3.016,TraderOne,Tick,30,20,10,-10,146400,146900,-294,-6706,-8706,OK
3.016,Trader1,Tick,0,10,-10,0,146400,146900,295,1472705,5705,OK
3.016,Trader2,Tick,21,20,1,-1,146400,146900,-162,-2838,-3038,OK
3.25,TraderOne,Tick,30,20,10,-10,146400,146900,-294,-6706,-8706,OK
3.25,Trader1,Tick,0,10,-10,0,146400,146900,295,1472705,5705,OK
3.25,Trader2,Tick,21,20,1,-1,146400,146900,-162,-2838,-3038,OK
3.532,TraderOne,Tick,30,40,-10,10,147500,146900,-147,-9853,-11853,OK
3.532,Trader1,Tick,10,10,0,0,147500,146900,589,4411,4411,OK
3.532,Trader2,Tick,31,30,1,-1,147500,146900,-456,-2544,-2344,OK
3.766,TraderOne,Tick,37,40,-3,3,146700,146900,-250,-9050,-8450,OK
3.766,Trader1,Tick,10,10,0,0,146700,146900,589,4411,4411,OK
3.766,Trader2,Tick,41,30,11,-11,146700,146900,-603,-2397,-4597,OK
3.954,TraderOne,Tick,37,40,-3,3,146700,146900,-250,-9050,-8450,OK
3.954,Trader1,Tick,10,10,0,0,146700,146900,589,4411,4411,OK
3.954,Trader2,Tick,41,30,11,-11,146700,146900,-603,-2397,-4597,OK
4.25,TraderOne,Tick,47,40,7,-7,146800,146900,-397,-8903,-9603,OK
4.25,Trader1,Tick,10,10,0,0,146800,146900,589,4411,4411,OK
